"Entrez Gene ID","gene","Ctrl","Ctrl.1","MandIL4","MandIL4.1","MandIL4.2","MandLPSandIFNg","MandLPSandIFNg.1","MandLPSandIFNg.2"
"22746","Zfp85-rs1",5.5079,3.8789,0,0,3.762,1.9487,1.7107,0
"238690","Zfp458",0,0,5.1661,0,0,2.2129,0,0
"330369","Fbxo41",0,0,0,0,0,0,0,0
"407786","Taf9b",2.1412,0.6166,1.5382,4.6362,0,0,0,0
"407788","BC051142",0.2344,0.1444,0,0,0,0,0,0
"227933","Ccdc148",4.0065,0,4.196,0,0,3.6405,4.1834,4.6629
"232400","BC048546",0,0,0,0,0,0,0,2.2755
"407812","Zfp941",2.7087,0,0,0,0,0.8531,0,0
"407819","BC031181",7.5952,7.3463,7.7798,7.8285,7.6146,7.5777,7.179,7.6963
"407823","Baz2b",10.3143,10.6931,11.4234,10.6529,11.0767,11.073,10.8008,10.6456
"407831","Tmem204",0,0,0,0,0,0,0,0
"408022","Ccdc111",5.1117,5.6469,4.0086,0,4.2774,3.8367,5.2512,6.2956
"408058","BC048507",-2.8454,-0.0009025,-1.2007,0,1.9613,0,0,-1.1416
"408065","Zfp456",0,2.0034,0,0,1.4203,0,5.4479,4.8618
"408068","Zfp738",4.4672,4.3703,4.624,5.1378,5.1815,4.3428,5.88,5.0866
"241226","Itga8",0,0,0,0,0,0,0,0
"347710","Pramel4",0,0,0,0,0,0,0,0
"70484","Slc35d2",4.9008,5.1526,5.1243,5.0429,5.0659,6.5286,6.4051,7.1153
"279028","Adamts13",0,0,0,0,0,0,0,0
"69568","Vkorc1l1",6.9293,7.879,7.6017,8.2931,7.4959,6.7055,6.7338,6.8933
"100038854","BC117090",0,0,0,0,0,0,0,0
"238023","Hexdc",1.8604,1.3497,4.2763,0,3.6378,3.1271,2.3389,3.5376
"381350","BC061194",0,0,0,0,0,0,0,0
"231999","Plekha8",4.4121,6.1636,4.4121,3.215,5.3703,4.8948,5.5051,6.7004
"75400","Defb29",0,0,0,0,0,0,0,0
"193034","Trpv1",0,0,0,0,0,0,0,0
"226143","Cyp2c44",0,0,0,0,0,0,-2.2537,0
"232878","Zscan22",0.2568,2.4452,2.2627,0,4.8524,0,5.3264,1.5416
"380878","AF067063",0,0,0,0,0,0,0,0
"387513","Tas2r138",0,0,0,0,0,0,0,0
"387514","Tas2r143",0,0,0,0,2.0961,3.4066,0,0
"387515","Tas2r144",0,0,0,0,0,0,0,0
"54670","Atp8b1",0,0,0,3.3453,1.6546,0,0,0
"215928","BC021785",0,0,-0.9137,0,0,0,0,0
"239283","Oxgr1",0,0,0,0,0,0,0,0
"326618","Tpm4",10.0347,9.9636,9.968,10.4963,11.4053,9.5699,11.344,10.3975
"385668","Lca5l",0,0,0,0,0,0,0,0
"414077","BC056474",6.5669,5.9857,7.0827,7.5713,6.0515,6.0796,5.6,6.4777
"414084","Tnip3",8.5494,8.0835,9.5199,9.4309,9.4697,8.5305,7.8433,8.2619
"414089","Gja6",0,0,0,0,0,-0.7203,0,0
"384701","Dub2a",0,0,0,0,0,0,0,0
"74241","Chpf",4.6575,2.2242,5.4375,6.5001,3.762,5.4368,5.6744,6.0319
"368202","Prss48",0,0,0,0,0,0,0,0
"227631","Sohlh1",0,0,0,0,0,0,0,0
"234135","Whsc1l1",8.5094,8.5813,8.2865,8.9422,8.9155,9.5699,9.6362,9.8748
"414801","Itprip",3.1228,1.5636,0,3.215,0,5.3758,6.13,6.1889
"107751","Prrxl1",0,0,0,0,0,0,0,0
"408198","Spink7",0,0,0,0,0,0,0,0
"384214","Ephx4",0,0,0,0,0,0,0,0
"258248","Olfr576",0,0,0,0,0,0,0,0
"12193","Zfp36l2",9.1511,9.2095,7.823,7.4384,8.6755,7.9978,8.7935,8.8055
"258502","Olfr279",0,0,0,-3.8961,0,0,0,0
"258420","Olfr221",0,0,0,0,0,0,0,0
"258880","Olfr218",0,0,0,0,0,0,0,0
"258896","Olfr1206",0,0,0,0,0,0,0,0
"72190","2510009E07Rik",8.038,7.796,7.5633,4.4816,7.7431,7.7953,7.9443,8.3592
"329152","Hecw2",0,0,0,0,0,0,0,0
"380969","Nckap5l",1.1528,0.2044,2.891,0,0,0.6331,0,1.5416
"381199","Tmem151a",0,0,0,-3.6614,0,0,1.7107,0
"14972","H2-K1",14.5971,14.5971,13.536,13.5633,13.5989,15.8592,16.2578,16.2578
"216238","Eea1",10.9232,11.0401,11.1927,10.7319,10.6868,10.9513,11.4282,10.9076
"70417","Megf10",0,0,0,0,0,0,2.6632,0
"77569","Limch1",0,0,5.1661,4.0891,0,0,0,0
"195434","Utp14b",4.558,6.2283,5.812,5.3075,6.0515,4.393,0.9053,0.6151
"214239","A430105I19Rik",3.6809,2.2242,0,2.3275,1.6546,1.9487,4.0524,0
"224020","Pi4ka",5.4811,6.1293,6.2846,7.9285,7.7186,7.0205,5.7231,6.8373
"225876","Kdm2a",9.9558,9.91,9.0598,9.9295,9.5599,10.3351,10.4408,10.0972
"269642","Nat8l",1.8604,0.1378,0,0,0,0,0,0
"72503","2610507B11Rik",9.9192,10.3416,9.3581,9.6896,10.0374,9.156,9.3254,9.7522
"406218","Panx2",0,0,0,0,0,0,0,0
"381066","Zfp948",3.762,2.566,6.5111,3.97,4.0155,3.6405,3.3844,4.4554
